id,age,gender,neighbourhood,occupation,opinion
0,66,M,6,C,B
1,49,M,8,S,N
2,53,F,9,S,B
3,62,F,7,E,Y
4,76,NB,4,S,Y
5,30,X,8,S,Y
6,73,NB,2,E,Y
7,26,F,7,S,B
8,37,F,9,S,N
9,56,M,4,E,Y
10,47,M,1,E,Y
11,79,F,2,E,Y
12,48,F,2,S,N
13,58,F,9,C,Y
14,62,X,5,C,Y
15,78,M,7,C,B
16,71,M,2,S,B
17,34,X,4,S,N
18,58,F,8,E,Y
19,44,M,1,E,N
20,74,X,1,S,Y
21,40,X,4,C,B
22,60,M,7,S,N
23,68,NB,1,S,N
24,37,M,2,C,Y
25,51,M,3,E,Y
26,63,F,5,E,N
27,69,NB,2,E,B
28,29,M,6,S,N
29,48,F,3,S,Y
30,40,F,2,E,B
31,75,M,9,S,N
32,33,M,2,E,Y
33,24,X,4,C,Y
34,57,F,9,C,Y
35,41,NB,1,C,Y
36,78,F,5,S,Y
37,66,M,9,E,Y
38,23,X,1,C,Y
39,79,X,9,E,N
40,22,F,3,S,B
41,43,F,1,E,N
42,56,M,2,C,B
43,30,M,3,E,B
44,24,X,2,E,Y
45,35,NB,4,S,N
46,53,NB,5,C,Y
47,41,F,3,S,Y
48,53,NB,2,E,Y
49,25,M,3,S,N
50,60,F,2,E,B
51,57,X,1,E,N
52,42,NB,2,S,N
53,42,F,3,E,B
54,69,NB,5,S,Y
55,49,F,2,S,N
56,41,F,9,E,B
57,55,NB,4,E,B
58,20,M,8,E,Y
59,66,M,7,C,B
60,31,NB,1,S,N
61,39,NB,1,S,N
62,35,M,9,S,N
63,54,F,9,C,B
64,63,M,4,S,N
65,37,F,5,E,Y
66,22,M,1,S,B
67,18,F,5,S,N
68,31,X,7,S,N
69,34,NB,9,E,B
70,61,X,5,E,N
71,55,F,8,E,Y
72,25,F,3,S,N
73,60,X,4,C,N
74,42,F,7,S,Y
75,57,X,5,E,Y
76,59,M,8,C,N
77,68,M,8,S,N
78,70,X,6,E,N
79,76,NB,7,E,Y
80,70,M,4,S,N
81,42,M,9,C,N
82,27,F,3,C,Y
83,26,F,3,C,B
84,45,M,6,C,Y
85,63,F,8,E,N
86,36,X,7,S,N
87,60,X,4,C,B
88,64,F,3,C,Y
89,78,M,6,C,Y
90,47,F,4,S,N
91,67,M,1,C,N
92,71,F,9,E,N
93,34,F,7,S,N
94,26,X,5,S,N
95,41,F,5,E,N
96,28,M,8,C,N
97,69,F,8,C,B
98,55,F,8,C,Y
99,45,X,4,E,Y
100,33,F,5,E,Y
101,80,F,6,E,Y
102,72,F,5,C,Y
103,47,F,6,E,Y
104,55,F,9,E,N
105,57,F,7,S,Y
106,62,NB,6,E,N
107,24,F,9,S,N
108,27,F,4,S,N
109,70,M,4,C,B
110,76,F,1,C,B
111,49,X,5,C,N
112,48,F,3,C,Y
113,53,NB,6,E,N
114,67,M,4,S,Y
115,51,M,7,S,Y
116,60,F,9,E,N
117,44,M,1,C,Y
118,29,M,2,E,Y
119,33,NB,4,C,B
120,59,F,2,C,N
121,44,NB,4,S,Y
122,58,M,2,S,Y
123,18,X,3,S,N
124,64,X,1,E,N
125,52,M,9,C,N
126,63,M,8,E,B
127,22,M,2,C,Y
128,25,M,6,S,Y
129,28,NB,6,S,Y
130,39,F,4,C,N
131,60,M,1,C,Y
132,28,M,5,E,N
133,42,F,5,E,N
134,77,NB,6,E,Y
135,57,F,6,C,N
136,28,M,3,E,B
137,55,NB,7,C,B
138,18,X,9,E,N
139,59,M,3,S,B
140,56,F,4,S,N
141,76,M,1,C,N
142,49,X,2,C,Y
143,78,NB,5,C,N
144,30,NB,5,C,B
145,49,F,3,E,Y
146,22,X,2,S,N
147,49,X,2,E,Y
148,41,X,8,E,N
149,62,F,1,S,Y
150,74,M,7,S,Y
151,61,M,2,S,Y
152,24,X,8,S,N
153,34,M,7,C,B
154,35,M,9,S,N
155,53,M,9,S,Y
156,48,M,5,C,Y
157,41,M,1,E,B
158,38,X,4,S,Y
159,57,F,1,S,B
160,52,NB,8,S,B
161,54,M,7,E,N
162,19,NB,1,S,N
163,57,M,7,C,N
164,75,M,2,E,N
165,69,F,8,S,Y
166,47,M,4,C,B
167,39,X,7,C,Y
168,26,NB,3,S,Y
169,31,F,2,C,Y
170,21,M,2,S,N
171,55,F,4,S,N
172,50,F,3,C,Y
173,64,M,1,C,N
174,19,M,8,S,Y
175,41,F,4,S,Y
176,77,M,8,S,Y
177,34,NB,3,C,N
178,51,M,7,E,N
179,61,M,4,S,N
180,74,M,6,E,Y
181,49,X,1,S,N
182,42,M,4,E,Y
183,43,M,2,C,Y
184,77,X,4,E,Y
185,68,X,8,E,Y
186,41,M,4,E,N
187,38,M,9,C,B
188,74,X,1,S,Y
189,64,NB,7,C,Y
190,74,M,3,S,N
191,44,F,4,C,N
192,45,X,8,E,B
193,79,F,9,C,Y
194,42,M,1,E,N
195,72,NB,1,E,N
196,78,F,8,C,N
197,77,F,9,C,Y
198,24,M,2,S,Y
199,57,F,3,C,Y
